 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,82.402,0.0065056
0.01,0,0,0,82.402,0.0066084
0.02,0.0010563,0.21126,0.21207,82.399,0.0067304
0.03,0.0091363,1.4048,1.4101,82.386,0.0070374
0.04,0.031687,3.1055,3.1174,82.365,0.0076812
0.05,0.07133,4.8231,4.8415,82.341,0.008566
0.06,0.12788,6.487,6.5118,82.317,0.0095348
0.07,0.20089,8.1153,8.1463,82.294,0.010604
0.08,0.29011,9.7281,9.7653,82.271,0.011747
0.09,0.3954,11.331,11.375,82.248,0.012946
0.1,0.5168,12.947,12.996,82.225,0.0142
0.11,0.65446,14.585,14.641,82.201,0.015488
0.12,0.80861,16.245,16.307,82.176,0.016823
0.13,0.97947,17.927,17.996,82.152,0.018201
0.14,1.1673,19.631,19.706,82.128,0.019617
0.15,1.3722,21.357,21.438,82.103,0.021068
0.16,1.5945,23.104,23.192,82.079,0.022539
0.17,1.8344,24.874,24.969,82.054,0.024042
0.18,2.0921,26.665,26.767,82.03,0.025574
0.19,2.3678,28.478,28.587,82.005,0.027133
0.2,2.6618,30.314,30.429,81.981,0.02872
0.21,2.9741,32.158,32.281,81.956,0.030346
0.22,3.3049,33.999,34.129,81.931,0.031973
0.235,3.8355,36.75,36.894,81.899,0.034419
0.2575,4.7087,40.862,41.026,81.851,0.038076
0.29125,6.1913,46.996,47.189,81.779,0.043521
0.34125,8.7678,56.069,56.306,81.673,0.051636
0.39125,11.801,65.25,65.532,81.546,0.05988
0.44125,15.295,74.525,74.852,81.418,0.068219
0.49125,19.255,83.864,84.236,81.289,0.076586
0.54125,23.684,93.305,93.723,81.159,0.085055
0.59125,28.59,102.93,103.39,81.028,0.093663
0.64125,33.979,112.67,113.19,80.896,0.10237
0.69125,39.857,122.44,123,80.763,0.1111
0.74125,46.224,132.24,132.86,80.629,0.11996
0.79125,53.083,142.12,142.8,80.495,0.12889
0.84125,60.437,152.06,152.8,80.36,0.13788
0.89125,68.29,162.05,162.86,80.224,0.14689
0.94125,76.643,172.07,172.95,80.089,0.15594
0.99125,85.497,182.08,183.04,79.953,0.16499
1.0413,94.85,192.05,193.09,79.817,0.174
1.0913,104.7,201.95,203.09,79.683,0.18291
1.1413,115.04,211.79,213.03,79.548,0.19185
1.1913,125.88,221.59,222.94,79.415,0.20072
1.2413,137.2,231.33,232.81,79.282,0.20948
1.2913,149.01,240.97,242.59,79.15,0.21824
1.3413,161.3,250.52,252.28,79.018,0.22694
1.3913,174.06,259.94,261.87,78.888,0.23549
1.4413,187.29,269.24,271.33,78.76,0.24399
1.4913,200.98,278.39,280.67,78.632,0.25235
1.5413,215.12,287.42,289.89,78.506,0.26065
1.5913,229.72,296.35,299.02,78.382,0.2689
1.6413,244.76,305.2,308.06,78.258,0.27701
1.6913,260.24,313.99,317.05,78.135,0.28507
1.7413,276.15,322.73,325.99,78.013,0.29305
1.7913,292.51,331.44,334.9,77.891,0.30104
1.8413,309.3,340.12,343.77,77.77,0.30907
1.8913,326.52,348.8,352.63,77.649,0.31708
1.9413,344.18,357.43,361.42,77.529,0.32502
1.9913,362.24,365.11,369.24,77.415,0.33206
2.0413,380.58,368.56,372.76,77.33,0.33535
2.0913,398.99,367.7,371.9,77.292,0.33467
2.1413,417.32,365.8,369.99,17.073,0.333
2.1913,435.56,363.7,367.86,17.073,0.33116
2.2413,453.69,361.6,365.74,17.073,0.32928
2.2913,471.72,359.51,363.62,17.073,0.32745
2.3412,489.64,357.4,361.51,17.073,0.32556
2.3912,507.46,355.28,359.41,17.073,0.32363
2.4412,525.17,353.15,357.31,17.073,0.32179
2.4912,542.78,351.02,355.21,17.073,0.31995
2.5412,560.27,348.88,353.11,17.073,0.31812
2.5912,577.67,346.75,351.02,17.073,0.31627
2.6412,594.95,344.64,348.94,17.073,0.3144
2.6912,612.13,342.53,346.87,17.073,0.31254
2.7412,629.2,340.45,344.81,17.073,0.31067
2.7912,646.17,338.38,342.75,17.073,0.30878
2.8412,663.04,336.32,340.71,17.073,0.3069
2.8912,679.81,334.28,338.66,17.073,0.3051
2.9412,696.47,332.25,336.63,17.073,0.30327
2.9912,713.03,330.23,334.6,17.073,0.30149
3.0412,729.49,328.22,332.57,17.073,0.29965
3.0912,745.85,326.2,330.55,17.073,0.29789
3.1412,762.11,324.19,328.54,17.073,0.29613
3.1912,778.27,322.18,326.53,17.073,0.29442
3.2412,794.33,320.17,324.52,17.073,0.29262
3.2912,810.29,318.15,322.52,17.073,0.29087
3.3412,826.15,316.13,320.53,17.073,0.2891
3.3912,841.9,314.11,318.53,17.073,0.28745
3.4412,857.56,312.09,316.55,17.073,0.28564
3.4912,873.11,310.07,314.56,17.073,0.28387
3.5412,888.56,308.07,312.59,17.073,0.28218
3.5912,903.92,306.07,310.62,17.073,0.28044
3.6412,919.17,304.08,308.65,17.073,0.27872
3.6912,934.33,302.1,306.69,17.073,0.27696
3.7412,949.38,300.13,304.74,17.073,0.27522
3.7912,964.34,298.17,302.79,17.073,0.27346
3.8412,979.2,296.22,300.85,17.073,0.27172
3.8912,993.96,294.28,298.91,17.073,0.26988
3.9412,1008.6,292.34,296.98,17.073,0.2682
3.9912,1023.2,290.4,295.05,17.073,0.26658
4.0412,1037.7,288.47,293.13,17.073,0.26483
4.0912,1052,286.54,291.21,17.073,0.26311
4.1412,1066.3,284.62,289.3,17.073,0.26141
4.1912,1080.5,282.69,287.39,17.073,0.25968
4.2412,1094.6,280.77,285.48,17.073,0.25803
4.2912,1108.6,278.84,283.58,17.073,0.25623
4.3412,1122.5,276.92,281.68,17.073,0.25453
4.3912,1136.3,274.99,279.79,17.073,0.25284
4.4412,1150,273.08,277.9,17.073,0.25117
4.4912,1163.6,271.16,276.02,17.073,0.24958
4.5412,1177.1,269.26,274.14,17.073,0.24793
4.5912,1190.5,267.35,272.26,17.073,0.24613
4.6412,1203.8,265.46,270.39,17.073,0.24453
4.6912,1217.1,263.57,268.52,17.073,0.24297
4.7412,1230.2,261.69,266.66,17.073,0.24132
4.7912,1243.2,259.81,264.81,17.073,0.23965
4.8412,1256.2,257.94,262.95,17.073,0.23797
4.8912,1269,256.08,261.11,17.073,0.23628
4.9412,1281.8,254.21,259.26,17.073,0.23465
4.9912,1294.4,252.36,257.42,17.073,0.23302
5.0412,1307,250.5,255.59,17.073,0.23138
5.0912,1319.5,248.65,253.75,17.073,0.22972
5.1412,1331.9,246.79,251.92,17.073,0.22801
5.1437,1332.5,246.7,251.83,17.072,0.22792
5.1475,1333.4,246.59,251.72,17.071,0.22782
5.1531,1334.8,246.5,251.65,17.071,0.22775
5.1616,1336.9,246.51,251.67,17.07,0.22778
5.1742,1340,246.84,252.03,17.068,0.22812
5.1932,1344.7,248.05,253.29,17.065,0.22928
5.2217,1351.8,250.39,255.74,17.058,0.23149
5.2644,1362.6,253.9,259.42,17.046,0.23482
5.3144,1375.4,258.11,263.83,17.03,0.23884
5.3644,1388.4,262.4,268.32,17.013,0.2429
5.4144,1401.6,266.75,272.88,16.995,0.24708
5.4644,1415.1,271.2,277.55,16.977,0.2513
5.5144,1428.7,275.73,282.3,16.959,0.25554
5.5644,1442.6,280.34,287.14,16.941,0.25984
5.6144,1456.8,285.04,292.08,16.922,0.26415
5.6644,1471.1,289.82,297.1,16.903,0.26865
5.7144,1485.8,294.7,302.23,16.884,0.27324
5.7644,1500.6,299.67,307.44,16.864,0.27801
5.8144,1515.7,304.69,312.71,16.845,0.28289
5.8644,1531.1,309.77,318.02,16.825,0.2877
5.9144,1546.7,314.91,323.4,16.805,0.29254
5.9644,1562.6,320.09,328.82,16.785,0.29754
6.0144,1578.7,325.28,334.25,16.765,0.30243
6.0644,1595.1,330.46,339.67,16.744,0.30733
6.1144,1611.8,335.61,345.07,16.724,0.31224
6.1644,1628.7,340.57,350.28,16.704,0.31698
6.2144,1645.8,345.4,355.38,16.685,0.32165
