Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6155214,0,2782.707,170,0,0,79.98286,106.8544,4.231738,494.608183809236,492.473734010426,45.9007276728676,13.1518530589342,4.924737,0.4590073,85,85,0.02462368,0.002295036
0.02,S,0.02,0.01134045,0,0.5999112,0,2784.543,169.9393,0.02211428,0,79.96571,106.8544,4.234437,495.139757566048,493.003293458531,45.9470582475807,16.0390867582576,9.85477,0.9184779,85,85,0.09852122,0.009182462
0.03,S,0.03,0.01383003,0,0.5764439,0,2786.381,169.818,0.0316029,0,79.94857,106.8544,4.237137,495.862795130545,493.723591181199,46.0100761335741,19.7685544318735,14.79201,1.378579,85,85,0.2217551,0.02066775
0.04,S,0.04,0.01704585,0,0.5531629,0,2788.219,169.6965,0.04606934,0,79.93143,106.8544,4.239837,496.586256022773,494.444310593079,46.0731309208535,23.9544672913752,19.73645,1.83931,85,85,0.3943974,0.03675719
0.05,S,0.05,0.02065525,0,0.5329851,0,2790.057,169.575,0.0651771,0,79.91429,106.8544,4.242536,497.310204616475,495.165515824185,46.1362282187085,28.3994883659067,24.68811,2.300672,85,85,0.6165202,0.0574571
0.05999999,S,0.05999999,0.02448809,0,0.5160064,0,2791.895,169.4534,0.08869106,0,79.89715,106.8544,4.245236,498.034642493422,495.887208473924,46.1993679122358,33.0023444666174,29.64698,2.762666,85,85,0.8881956,0.08277379
0.06999999,S,0.06999999,0.02845703,0,0.5016875,0,2793.734,169.3317,0.1164456,0,79.88,106.8544,4.247935,498.759741419679,496.609559610304,46.2625654788537,37.7081631247967,34.61308,3.225292,85,85,1.209496,0.1127136
0.07999999,S,0.07999999,0.03251476,0,0.489475,0,2795.574,169.21,0.1483191,0,79.86286,106.8544,4.250635,499.485339257784,497.332407734144,46.3258065318074,42.4852893294157,39.5864,3.68855,85,85,1.580493,0.1472828
0.08999999,S,0.08999999,0.03663399,0,0.4789229,0,2797.414,169.0881,0.1842187,0,79.84572,106.8544,4.253335,500.211739750004,498.056055436328,46.3891175485237,47.3144426552721,44.56696,4.152441,85,85,2.00126,0.1864877
0.09999999,S,0.09999999,0.04079811,0,0.4696919,0,2799.254,168.9662,0.2240711,0,79.82858,106.8544,4.256034,500.938628883313,498.780189894259,46.4524711564469,52.1832705965446,49.55476,4.616966,85,85,2.471869,0.2303348
0.11,S,0.11,0.04499645,0,0.4615263,0,2801.095,168.8442,0.267817,0,79.81143,106.8544,4.258734,501.666164236678,499.504968113166,46.5158808387653,57.0835449835766,54.54981,5.082125,85,85,2.992391,0.2788302
0.12,S,0.12,0.04922193,0,0.454232,0,2802.937,168.7221,0.3154073,0,79.79429,106.8544,4.261433,502.394446886138,500.230490738979,46.579355910841,62.0095771355306,59.55211,5.547919,85,85,3.562901,0.3319804
0.13,S,0.13,0.05346964,0,0.44766,0,2804.779,168.5999,0.3668009,0,79.77715,106.8544,4.264133,503.12339723583,500.956678501012,46.6428891832052,66.95734001421,64.56168,6.014348,85,85,4.18347,0.3897918
0.14,S,0.14,0.05773611,0,0.441694,0,2806.621,168.4777,0.4219627,0,79.76001,106.8544,4.266832,503.853020286142,501.683536381009,46.7064810889501,71.9238804565669,69.57852,6.481413,85,85,4.854171,0.4522706
0.15,S,0.15,0.0620188,0,0.4362425,0,2808.464,168.3554,0.4808632,0,79.74287,106.8544,4.269532,504.583282451879,502.411030944541,46.7701284492186,76.9069950305513,74.60263,6.949114,85,85,5.575077,0.5194232
0.16,S,0.16,0.06631582,0,0.4312321,0,2810.307,168.2329,0.5434763,0,79.72572,106.8544,4.272232,505.314329927308,503.139307784502,46.8338445145909,81.9050270403205,79.63403,7.417452,85,85,6.34626,0.5912561
0.17,S,0.17,0.07062572,0,0.4266031,0,2812.151,168.1104,0.6097794,0,79.70858,106.8544,4.274931,506.046028745353,503.868233489102,46.8976170984692,86.9166698454276,84.67271,7.886428,85,85,7.167794,0.6677755
0.18,S,0.18,0.0749474,0,0.422307,0,2813.995,167.9879,0.6797529,0,79.69144,106.8544,4.277631,506.778524178384,504.597952732757,46.9614593718209,91.9409240987642,89.71869,8.356043,85,85,8.039751,0.7489879
0.19,S,0.19,0.07927999,0,0.4183033,0,2815.84,167.8652,0.7533798,0,79.67429,106.8544,4.28033,507.511635675168,505.328285672276,47.0253553437248,96.9769784543877,94.77197,8.826297,85,85,8.962204,0.8348995
0.2,S,0.2,0.08362279,0,0.4145583,0,2817.658,167.7425,0.8306451,0,79.65715,106.8544,4.28303,508.240314098589,506.054202331162,47.0888646922327,102.024139126386,99.83251,9.297186,85,85,9.935226,0.925517
0.21,S,0.21,0.08797521,0,0.4110435,0,2819.477,167.6197,0.9115348,0,79.64001,106.8544,4.285729,508.969655690946,506.780779613272,47.1524318431677,107.081863547317,104.9003,9.76871,85,85,10.95889,1.020846
0.22,S,0.22,0.09233678,0,0.4077347,0,2821.295,167.4968,0.9960374,0,79.62287,106.8544,4.288429,509.699813543877,507.50817000586,47.2160703994556,112.149772374943,109.9754,10.24087,85,85,12.03327,1.120894
0.23,S,0.23,0.09670717,0,0.4046112,0,2823.115,167.3738,1.084143,0,79.60573,106.8544,4.291129,510.430597218264,508.236183839609,47.2797632475554,117.227492580337,115.0578,10.71367,85,85,13.15844,1.225667
0.24,S,0.24,0.1010861,0,0.4016551,0,2824.935,167.2507,1.175842,0,79.58858,106.8544,4.293828,511.162203806825,508.965017412389,47.3435280799501,122.314720000088,120.1475,11.18711,85,85,14.33446,1.335171
0.25,S,0.25,0.1054732,0,0.3998905,0,2826.755,167.1276,1.274441,0,79.57144,106.8544,4.296528,511.893856348097,509.693896755484,47.4072966655551,127.411097416049,125.2444,11.66118,85,85,15.56142,1.449412
0.26,S,0.26,0.1098683,0,0.398268,0,2828.576,167.0044,1.377192,0,79.5543,106.8544,4.299227,512.626131925771,510.423396741529,47.4711195572371,132.516507112817,130.3486,12.13589,85,85,16.83939,1.568398
