Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6155214,0,2181.151,170,0,0,79.98354,106.8544,4.231631,380.649251229238,380.376527750697,14.4065817494306,12.4741570045552,3.803765,0.1440658,88,88,0.01901883,0.0007203289
0.02,S,0.02,0.0107561,0,0.6064044,0,2184.054,169.9544,0.02010928,0,79.96707,106.8544,4.234224,381.305777459951,381.032656892558,14.4294942993833,14.2323446104189,7.614091,0.2883607,88,88,0.07610811,0.002882461
0.03,S,0.03,0.01227213,0,0.5904092,0,2186.958,169.8632,0.02548691,0,79.95061,106.8544,4.236817,382.07677193931,381.803185035815,14.4564017677448,16.6965893894152,11.43212,0.4329247,88,88,0.1713392,0.006488889
0.04,S,0.04,0.01439698,0,0.5718588,0,2189.862,169.7719,0.03397458,0,79.93414,106.8544,4.23941,382.848317008209,382.574263425818,14.4833283540431,19.6069102541699,15.25786,0.577758,88,88,0.3047891,0.0115423
0.05,S,0.05,0.01690648,0,0.5540509,0,2192.766,169.6805,0.04539166,0,79.91768,106.8544,4.242002,383.620564933179,383.346044229368,14.5102795750743,22.796967202338,19.09132,0.7228608,88,88,0.476535,0.0180454
0.05999999,S,0.05999999,0.01965718,0,0.5380826,0,2195.671,169.5889,0.05959487,0,79.90121,106.8544,4.244596,384.393467721898,384.118479490877,14.5372535536326,26.1680388155413,22.9325,0.8682333,88,88,0.686654,0.02600086
0.06999999,S,0.06999999,0.02256398,0,0.524067,0,2198.576,169.4972,0.07647721,0,79.88475,106.8544,4.247189,385.167088977556,384.891632767465,14.5642527113155,29.6614867429367,26.78142,1.013876,88,88,0.9352236,0.03541141
0.07999999,S,0.07999999,0.0255763,0,0.5117999,0,2201.482,169.4053,0.09595898,0,79.86829,106.8544,4.249781,385.941452481889,385.665527834169,14.5912776761366,33.2414305943549,30.63807,1.159789,88,88,1.222321,0.04627974
0.08999999,S,0.08999999,0.02866321,0,0.5010154,0,2204.388,169.3134,0.1179794,0,79.85181,106.8544,4.252374,386.716474087118,386.440080586509,14.6183257134557,36.8851388884808,34.50247,1.305972,88,88,1.548024,0.05860854
0.09999999,S,0.09999999,0.03180512,0,0.4914666,0,2207.294,169.2213,0.1424913,0,79.83535,106.8544,4.254967,387.492264164784,387.21540133695,14.6454004730205,40.5776544537799,38.37462,1.452426,88,88,1.912409,0.07240053
0.11,S,0.11,0.03498913,0,0.4829471,0,2210.201,169.1292,0.1694572,0,79.81889,106.8544,4.25756,388.268876326622,387.991543661008,14.6725039269365,44.3088298744144,42.25454,1.599151,88,88,2.315555,0.08765841
0.12,S,0.12,0.03820648,0,0.4752884,0,2213.108,169.0368,0.198847,0,79.80242,106.8544,4.260153,389.046215244834,388.768412284744,14.6996328501441,48.0715379085108,46.14222,1.746147,88,88,2.757539,0.1043849
0.13,S,0.13,0.04145103,0,0.4683553,0,2216.015,168.9444,0.2306358,0,79.78596,106.8544,4.262745,389.824264428576,389.545990735033,14.7267864635071,51.8606823517146,50.03768,1.893415,88,88,3.238438,0.1225827
0.14,S,0.14,0.0447184,0,0.4620387,0,2218.923,168.8518,0.2648035,0,79.76949,106.8544,4.265338,390.603112423654,390.3243675003,14.7539679590333,55.672510468417,53.94093,2.040955,88,88,3.758331,0.1422546
0.15,S,0.15,0.04800534,0,0.4562505,0,2221.832,168.7592,0.3013333,0,79.75303,106.8544,4.267931,391.382811936427,391.103595255051,14.7811791761641,59.5041979138345,57.85197,2.188767,88,88,4.317296,0.1634032
0.16,S,0.16,0.05130942,0,0.4509186,0,2224.74,168.6664,0.3402106,0,79.73656,106.8544,4.270524,392.163229170222,391.883540283604,14.8084154454523,63.3535958072552,61.77081,2.336851,88,88,4.91541,0.1860313
0.17,S,0.17,0.05462879,0,0.4459838,0,2227.557,168.5734,0.3814242,0,79.7201,106.8544,4.273117,392.926884584596,392.646733618437,14.8350668393745,67.2188505972832,65.69727,2.485202,88,88,5.552751,0.2101415
0.18,S,0.18,0.05796186,0,0.4413973,0,2230.374,168.4804,0.4249619,0,79.70364,106.8544,4.27571,393.691306219009,393.41069270124,14.8617448760275,71.0986695439982,69.63138,2.63382,88,88,6.229394,0.2357366
0.19,S,0.19,0.06130751,0,0.437118,0,2233.191,168.3872,0.4708155,0,79.68717,106.8544,4.278303,394.456440968494,394.175364455358,14.8884478041376,74.9919977604314,73.57314,2.782705,88,88,6.945416,0.2628193
0.2,S,0.2,0.06466483,0,0.4331112,0,2236.009,168.2939,0.5189777,0,79.67071,106.8544,4.280896,395.222443789873,394.940903747743,14.9151809293625,78.8979834499279,77.52255,2.931857,88,88,7.700895,0.2913921
0.21,S,0.21,0.06803308,0,0.4293476,0,2238.827,168.2005,0.569443,0,79.65424,106.8544,4.283488,395.989250773625,395.707246699852,14.94194222581,82.8159413605468,81.47962,3.081276,88,88,8.495906,0.3214577
0.22,S,0.22,0.07141169,0,0.4258022,0,2241.646,168.107,0.6222066,0,79.63778,106.8544,4.286081,396.756783139448,396.474314582953,14.9687288418539,86.7453188807285,85.44437,3.230963,88,88,9.330525,0.3530189
0.23,S,0.23,0.07480017,0,0.4224532,0,2244.465,168.0133,0.6772646,0,79.62132,106.8544,4.288674,397.525098805797,397.242165280504,14.9955427982817,90.6856304779681,89.41679,3.380919,88,88,10.20483,0.3860783
0.24,S,0.24,0.07819811,0,0.4192822,0,2247.284,167.9196,0.7346143,0,79.60485,106.8544,4.291267,398.294240392034,398.010841386088,15.0223855830558,94.6364971104234,93.3969,3.531143,88,88,11.1189,0.4206387
0.25,S,0.25,0.08160517,0,0.4162727,0,2250.104,167.8257,0.7942536,0,79.58838,106.8544,4.29386,399.064164556037,398.780299583842,15.0492556835604,98.5975824347272,97.3847,3.681635,88,88,12.07281,0.4567025
0.26,S,0.26,0.08502108,0,0.4134106,0,2252.924,167.7317,0.8561804,0,79.57191,106.8544,4.296453,399.834884975737,399.550553547324,15.0761534745283,102.568610883618,101.3802,3.832397,88,88,13.06663,0.4942727
0.27,S,0.27,0.08844559,0,0.4106835,0,2255.744,167.6375,0.9203946,0,79.55545,106.8544,4.299046,400.606438224063,400.321639819637,15.1030804369986,106.549337933983,105.3834,3.983428,88,88,14.10045,0.5333518
0.28,S,0.28,0.09187851,0,0.4080801,0,2258.565,167.5433,0.9868956,0,79.53899,106.8544,4.301639,401.378746819653,401.093480974071,15.1300336621441,110.539553465014,109.3943,4.134728,88,88,15.17434,0.5739425
