Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6155214,0,952.6764,170,0,0,79.98097,106.8544,4.232035,148.277359645304,147.442305093913,15.7143899651382,11.9841894426706,1.474423,0.1571439,85,85,0.007372115,0.0007857195
0.02,S,0.02,0.01033361,0,0.6113919,0,1870.684,169.9797,0.01871324,0,79.96194,106.8544,4.235032,322.042899924305,320.560869707614,30.8603014235819,13.0684860887196,4.680032,0.4657469,85,85,0.03814439,0.003900173
0.03,S,0.03,0.01126857,0,0.6006862,0,2626.62,169.9187,0.021863,0,79.94291,106.8544,4.238029,465.301511894522,463.278084060607,43.3464393054553,15.696402511247,9.312813,0.8992113,85,85,0.1081086,0.01072496
0.04,S,0.04,0.01353455,0,0.578931,0,2734.267,169.8178,0.0303975,0,79.92388,106.8544,4.241026,485.990137498498,483.888341526282,45.1496033288596,19.275178754251,14.1517,1.350707,85,85,0.2254312,0.02197455
0.05,S,0.05,0.01662043,0,0.5559026,0,2841.914,169.7006,0.0440154,0,79.90485,106.8544,4.244023,506.754059748263,504.573581025032,46.9593271131701,23.5013823729196,19.19744,1.8203,85,85,0.3921769,0.03782959
0.05999999,S,0.05999999,0.02026457,0,0.5349418,0,2874.273,169.5787,0.06296515,0,79.88582,106.8544,4.24702,513.277114724365,511.071912030448,47.5278574449878,28.0672732118875,24.30816,2.295578,85,85,0.6097049,0.05840898
0.06999999,S,0.06999999,0.02420163,0,0.5171539,0,2874.365,169.4532,0.0868209,0,79.86679,106.8544,4.250017,513.694107865259,511.48732459296,47.5642012044849,32.8050930096963,29.42303,2.77122,85,85,0.8783608,0.08374297
0.07999999,S,0.07999999,0.02828694,0,0.5022475,0,2871.373,169.3274,0.1151863,0,79.84776,106.8544,4.253014,513.525388682445,511.319244919085,47.549496283691,37.6461451486165,34.53622,3.246715,85,85,1.198157,0.1138326
0.08999999,S,0.08999999,0.03246128,0,0.489623,0,2867.058,169.2017,0.1478764,0,79.82873,106.8544,4.25601,513.103974154953,510.899427747315,47.5127669271377,42.5521748935864,39.64521,3.721843,85,85,1.569064,0.1486754
0.09999999,S,0.09999999,0.03669167,0,0.478786,0,2865.829,169.0762,0.1847465,0,79.8097,106.8544,4.259007,513.267857928352,511.062690319494,47.5270506739099,47.5073608769617,44.75584,4.197114,85,85,1.991069,0.1882702
0.11,S,0.11,0.04096445,0,0.4693483,0,2865.924,168.9508,0.225737,0,79.79066,106.8544,4.262004,513.682697954174,511.475957929758,47.5632067602169,52.5007018773227,49.8706,4.672746,85,85,2.464201,0.2326195
0.12,S,0.12,0.04527016,0,0.4610277,0,2836.706,168.8255,0.2707924,0,79.77164,106.8544,4.265001,508.511169397303,506.324031044764,47.1124716863076,57.4687464493676,54.93384,5.143871,85,85,2.988224,0.2817026
0.13,S,0.13,0.04955408,0,0.4536924,0,2794.925,168.7005,0.3192987,0,79.75261,106.8544,4.267998,500.934045788556,498.775624164355,46.45207174658,62.3812958687404,59.9216,5.608392,85,85,3.562501,0.3354639
