Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6155214,0,2613.075,183,0,0,79.98486,106.8544,4.231422,427.766950227281,420.262112508575,79.7766914366508,13.219581616012,4.202621,0.7977669,80,80,0.02101311,0.003988835
0.02,S,0.02,0.01139886,0,0.5992861,0,2614.798,182.9393,0.02231934,0,79.96973,106.8544,4.233806,428.218423204075,420.706764526949,79.8550953455748,15.7630445704838,8.409689,1.596318,80,80,0.08407465,0.01595926
0.03,S,0.03,0.01359201,0,0.5784419,0,2616.522,182.818,0.03063027,0,79.95459,106.8544,4.23619,428.825506442951,421.304675626357,79.9605232062911,18.9484778191529,12.62274,2.395923,80,80,0.1892368,0.03592046
0.04,S,0.04,0.01633872,0,0.5577669,0,2618.246,182.6965,0.04267868,0,79.93945,106.8544,4.238574,429.433056370636,421.90304621688,80.0660321031506,22.5083818739033,16.84177,3.196583,80,80,0.3365594,0.06388299
0.05,S,0.05,0.01940833,0,0.539405,0,2619.97,182.575,0.05823863,0,79.92432,106.8544,4.240957,430.041075872271,422.501879140816,80.1716225347805,26.294064048339,21.06679,3.998299,80,80,0.5261022,0.0998574
0.05999999,S,0.05999999,0.02267263,0,0.5235881,0,2621.695,182.4534,0.07714545,0,79.90918,106.8544,4.243341,430.649552636923,423.101162273514,80.2772923633031,30.2233922845006,25.2978,4.801072,80,80,0.7579252,0.1438543
0.06999999,S,0.06999999,0.0260608,0,0.5099993,0,2623.421,182.3317,0.09927914,0,79.89404,106.8544,4.245725,431.258591531353,423.700998897047,80.3830598027417,34.2492617201819,29.53481,5.604903,80,80,1.032088,0.1958841
0.07999999,S,0.07999999,0.02953222,0,0.4982442,0,2625.146,182.21,0.1245498,0,79.87891,106.8544,4.248109,431.868132459702,424.301329824746,80.4889144117544,38.3433291659697,33.77782,6.409792,80,80,1.348651,0.2559576
0.08999999,S,0.08999999,0.03306247,0,0.4879765,0,2626.873,182.0881,0.1528877,0,79.86376,106.8544,4.250493,432.478270175969,424.902248465427,80.5948721906233,42.4877518303938,38.02684,7.215741,80,80,1.707675,0.3240853
0.09999999,S,0.09999999,0.03663613,0,0.4789182,0,2628.599,181.9662,0.1842376,0,79.84863,106.8544,4.252876,433.088928968127,425.503680077287,80.7009209082849,46.6708214668376,42.28188,8.02275,80,80,2.109218,0.4002777
0.11,S,0.11,0.04024315,0,0.4708517,0,2630.326,181.8442,0.2185542,0,79.83349,106.8544,4.25526,433.700160548954,426.10567567866,80.8070690881773,50.8845689252264,46.54294,8.83082,80,80,2.553342,0.4845456
0.12,S,0.12,0.04387662,0,0.4636071,0,2632.053,181.7221,0.2557998,0,79.81835,106.8544,4.257644,434.311977553928,426.708247714762,80.9133189221692,55.1234027241327,50.81002,9.639954,80,80,3.040107,0.5768995
0.13,S,0.13,0.04753174,0,0.4570513,0,2633.781,181.5999,0.2959433,0,79.80322,106.8544,4.260028,434.924390150688,427.311406287235,81.0196717147979,59.3833010579979,55.08313,10.45015,80,80,3.569573,0.67735
0.14,S,0.14,0.05120505,0,0.4510784,0,2635.509,181.4777,0.3389575,0,79.78808,106.8544,4.262412,435.537356497034,427.915110011481,81.1261211219105,63.6613002164819,59.36228,11.26141,80,80,4.1418,0.7859077
0.15,S,0.15,0.05489399,0,0.445604,0,2637.238,181.3554,0.3848194,0,79.77294,106.8544,4.264795,436.150968125238,428.519449123726,81.2326825808495,67.9551722268882,63.64748,12.07374,80,80,4.756849,0.9025835
0.16,S,0.16,0.05859663,0,0.4405594,0,2638.967,181.2329,0.433509,0,79.7578,106.8544,4.267179,436.765193856643,429.124393004704,81.3393502124006,72.263187022063,67.93872,12.88713,80,80,5.41478,1.027388
0.17,S,0.17,0.06231149,0,0.4358887,0,2640.696,181.1105,0.4850089,0,79.74267,106.8544,4.269563,437.379990100546,429.72989854745,81.44611737064,76.5840293560442,72.23602,13.70159,80,80,6.115654,1.160331
0.18,S,0.18,0.06603745,0,0.4315455,0,2642.426,180.9879,0.5393038,0,79.72753,106.8544,4.271947,437.995487158076,430.336094170767,81.5530062271717,80.9166424334049,76.53938,14.51712,80,80,6.85953,1.301425
0.19,S,0.19,0.06977357,0,0.4274911,0,2644.156,180.8652,0.5963805,0,79.71239,106.8544,4.274331,438.611533095193,430.94283032647,81.6599899236264,85.2601890322639,80.84881,15.33372,80,80,7.646472,1.450679
0.2,S,0.2,0.07351915,0,0.4236932,0,2645.861,180.7425,0.656227,0,79.69726,106.8544,4.276714,439.223723188952,431.545768681111,81.766304462133,89.613943565501,85.16427,16.15138,80,80,8.476537,1.608105
0.21,S,0.21,0.07727356,0,0.4201241,0,2647.566,180.6197,0.7188328,0,79.68212,106.8544,4.279098,439.836420300261,432.149206341237,81.8727065705441,93.9773483034329,89.48576,16.97011,80,80,9.349787,1.773712
0.22,S,0.22,0.08103633,0,0.4167604,0,2649.272,180.4968,0.7841881,0,79.66698,106.8544,4.281482,440.449828938436,432.75334463597,81.9792322376792,98.3499473551779,93.81329,17.7899,80,80,10.26628,1.947512
0.23,S,0.23,0.08480705,0,0.4135818,0,2650.979,180.3738,0.8522853,0,79.65185,106.8544,4.283866,441.063869963526,433.358105534495,82.0858681793397,102.731367755529,98.14687,18.61076,80,80,11.22608,2.129515
0.24,S,0.24,0.08858541,0,0.4105708,0,2652.685,180.2507,0.923117,0,79.63671,106.8544,4.28625,441.67850850686,433.963454871155,82.1926074117084,107.121285940736,102.4865,19.43269,80,80,12.22925,2.319733
0.25,S,0.25,0.09237115,0,0.4077122,0,2654.392,180.1276,0.9966767,0,79.62157,106.8544,4.288633,442.293786057957,434.56943333259,82.299458069136,111.519444741071,106.8322,20.25568,80,80,13.27584,2.518174
0.26,S,0.26,0.09616403,0,0.4049926,0,2656.1,180.0044,1.07296,0,79.60643,106.8544,4.291017,442.90975126558,435.176089008041,82.4064276728674,115.925642918914,111.184,21.07974,80,80,14.36592,2.724852
0.27,S,0.27,0.09996387,0,0.4024003,0,2657.808,179.8811,1.151962,0,79.59129,106.8544,4.293401,443.526323719073,435.783342615233,82.5135027183466,120.339584608626,115.5418,21.90487,80,80,15.49955,2.939775
0.28,S,0.28,0.1037704,0,0.4005438,0,2659.516,179.7577,1.235585,0,79.57616,106.8544,4.295785,444.143199430081,436.390894671361,82.6206308855005,124.761197647709,119.9057,22.73108,80,80,16.67679,3.162955
0.29,S,0.29,0.1075837,0,0.3991034,0,2661.225,179.6343,1.323227,0,79.56102,106.8544,4.298169,444.760496386579,436.998861558306,82.7278317302036,129.190330142521,124.2757,23.55836,80,80,17.8977,3.394402
0.3,S,0.3,0.1114034,5.683619,0.3977223,0,2662.934,179.5107,1.413883,0,79.54588,106.8544,4.300552,445.378376900229,437.6074,82.83515,133.626852722628,128.6518,24.38671,80,79.26659,19.18422,3.634127
0.31,S,0.31,0.1152296,5.520513,0.4912041,0.8932877,2664.643,179.3871,1.868125,3.626965,79.53075,106.8544,4.302936,445.932757960001,438.2671,82.32845,138.069490976178,133.0345,25.20999,79.99962,79.26971,20.51456,3.882111
