Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6031908,0,944.4577,156.1,0,0,95.99545,107.4878,1.809823,162.513038216683,162.370975765538,6.79366023319988,11.9150893762587,1.62371,0.0679366,88,88,0.00811855,0.000339683
0.02,S,0.02,0.01041453,0,0.5989873,0,1862.465,156.0797,0.01896919,0,95.99088,107.4878,1.810541,351.768923921354,351.513657672362,13.3986680899619,12.9969905195166,5.138847,0.2019233,88,88,0.04193133,0.001688983
0.03,S,0.03,0.01136018,0,0.5930147,0,2618.401,156.0187,0.02234535,0,95.98633,107.4878,1.811258,507.805933251662,507.456163808312,18.844300425936,15.8544159341037,10.21341,0.3903663,88,88,0.1186926,0.004650431
0.04,S,0.04,0.01385775,0,0.5895768,0,2726.048,155.9178,0.03305797,0,95.98177,107.4878,1.811976,530.366314256928,530.002854415165,19.6316481797994,19.8119997335063,15.51344,0.5866828,88,88,0.2473269,0.009535676
0.05,S,0.05,0.01731693,0,0.589492,0,2833.696,155.8006,0.05161407,0,95.97721,107.4878,1.812694,553.015517724936,552.638309249806,20.4220957321819,24.4866768500115,21.03982,0.7909037,88,88,0.4300932,0.01642361
0.05999999,S,0.05999999,0.0214029,0,0.589392,0,2866.054,155.6787,0.07883066,0,95.97265,107.4878,1.813412,560.155638147098,559.774094628423,20.6712827592365,29.5246438459036,26.63756,0.9976165,88,88,0.66848,0.02536621
0.06999999,S,0.06999999,0.02580642,0,0.5892844,0,2866.147,155.5532,0.1145836,0,95.96809,107.4878,1.81413,560.645461622016,560.263620696755,20.6883774406228,34.7402797460384,32.2402,1.2045,88,88,0.9628688,0.03637679
0.07999999,S,0.07999999,0.03036525,0,0.589173,0,2863.154,155.4274,0.1586112,0,95.96353,107.4878,1.814847,560.496329612148,560.114579236847,20.683172750307,40.0602060708719,37.84135,1.411332,88,88,1.313277,0.04945595
0.08999999,S,0.08999999,0.03501526,0,0.5890595,0,2858.839,155.3017,0.2108656,0,95.95898,107.4878,1.815565,560.071348883425,559.68985653972,20.6683411682404,45.4445957477011,43.43825,1.618015,88,88,1.719675,0.06460269
0.09999999,S,0.09999999,0.03972162,0,0.588945,0,2857.611,155.1762,0.2713026,0,95.95441,107.4878,1.816283,560.283050140192,559.901429260965,20.675729392844,50.8777789211826,49.03727,1.824772,88,88,2.182052,0.08181662
0.11,S,0.11,0.04447065,0,0.5888294,0,2857.705,155.0508,0.339981,0,95.94986,107.4878,1.817001,560.767449433753,560.385534441106,20.6926347668176,56.3489263822999,54.64112,2.031698,88,88,2.700444,0.101099
0.12,S,0.12,0.04925289,0,0.5887132,0,2828.487,154.9255,0.4169436,0,95.9453,107.4878,1.817719,555.16336527116,554.784852796316,20.4970545925353,61.789542740876,60.18897,2.236669,88,88,3.274595,0.1224408
0.13,S,0.13,0.05400847,0,0.5885978,0,2786.706,154.8006,0.5012376,0,95.94074,107.4878,1.818437,546.936008506726,546.562490843149,20.2099234190176,67.1673226733126,65.65459,2.438768,88,88,3.903813,0.145818
0.14,S,0.14,0.05870916,0,0.5884839,0,2774.239,154.6774,0.5921582,0,95.93619,107.4878,1.819155,544.784917872339,544.412706048148,20.1348512411566,72.5375812800392,71.09872,2.640116,88,88,4.587579,0.1712124
