Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6155214,0,2110.496,170,0,0,79.98354,106.8544,4.231631,367.787140855565,361.187670654637,69.3602735417658,12.9437506076065,3.611877,0.6936027,80,80,0.01805938,0.003468013
0.02,S,0.02,0.01116101,0,0.601858,0,2113.303,169.9544,0.02148949,0,79.96707,106.8544,4.234224,368.421677977143,361.812639705834,69.4704725231507,14.9840040898854,7.230003,1.388307,80,80,0.07226878,0.01387756
0.03,S,0.03,0.01292027,0,0.5843346,0,2116.112,169.8632,0.02795945,0,79.95061,106.8544,4.236817,369.167064306701,362.54678616008,69.5999225130681,17.5739036240545,10.85547,2.084306,80,80,0.1626962,0.03124063
0.04,S,0.04,0.01515347,0,0.5660918,0,2118.92,169.7719,0.03725917,0,79.93414,106.8544,4.23941,369.913018629506,363.281491793746,69.729470611096,20.5102727017972,14.48829,2.781601,80,80,0.2894149,0.05557016
0.05,S,0.05,0.01768542,0,0.5492061,0,2121.729,169.6805,0.04923643,0,79.91768,106.8544,4.242002,370.659731744893,364.016944339794,69.8591509447086,23.6679859972804,18.12846,3.480192,80,80,0.4524987,0.08687913
0.05999999,S,0.05999999,0.02040823,0,0.5342169,0,2124.538,169.5889,0.06377438,0,79.90121,106.8544,4.244596,371.407059169222,364.753001684405,69.988937432612,26.9724929018597,21.77599,4.180081,80,80,0.6520209,0.1251805
0.06999999,S,0.06999999,0.02325763,0,0.5210627,0,2127.348,169.4972,0.08078587,0,79.88475,106.8544,4.247189,372.155107049316,365.489768185335,70.1188494965388,30.3786733830121,25.43089,4.881269,80,80,0.8880553,0.1704872
0.07999999,S,0.07999999,0.02619471,0,0.5095097,0,2130.157,169.4053,0.1002052,0,79.86829,106.8544,4.249781,372.903849985922,366.227219016955,70.2488817379359,33.8583220764091,29.09316,5.583758,80,80,1.160676,0.2228124
0.08999999,S,0.08999999,0.02919514,0,0.4993067,0,2132.968,169.3134,0.1219818,0,79.85181,106.8544,4.252374,373.653387436145,366.965451947837,70.3790524177898,37.39318173854,32.76281,6.287549,80,80,1.469955,0.2821689
0.09999999,S,0.09999999,0.03224318,0,0.4902309,0,2135.779,169.2213,0.1460757,0,79.83535,106.8544,4.254967,374.403596343855,367.704345968453,70.509339176625,40.9710226708339,36.43985,6.992642,80,80,1.815969,0.3485698
0.11,S,0.11,0.03532831,0,0.4820977,0,2138.589,169.1292,0.1724553,0,79.81889,106.8544,4.25756,375.154529086891,368.443952572915,70.6397516052732,44.5833981502489,40.12429,7.699039,80,80,2.198789,0.4220282
0.12,S,0.12,0.03844322,0,0.4747571,0,2141.401,169.0368,0.2010946,0,79.80242,106.8544,4.260153,375.90627397344,369.184358642964,70.7703055382584,48.22431115218,43.81614,8.406742,80,80,2.618491,0.5025572
0.13,S,0.13,0.04158275,0,0.4680881,0,2144.212,168.9444,0.2319726,0,79.78596,106.8544,4.262745,376.658769788185,369.925504078463,70.9009893488352,51.8893901520924,47.5154,9.115752,80,80,3.075149,0.5901696
0.14,S,0.14,0.04474313,0,0.4619928,0,2147.024,168.8518,0.2650717,0,79.76949,106.8544,4.265338,377.411963823359,370.667336872248,71.0317943813868,55.5753840576067,51.22207,9.82607,80,80,3.568836,0.6848787
0.15,S,0.15,0.04792156,0,0.4563913,0,2149.836,168.7592,0.3003771,0,79.75303,106.8544,4.267931,378.165954741884,371.409954199976,71.1627377706387,59.2798488129566,54.93617,10.5377,80,80,4.099627,0.7866976
0.16,S,0.16,0.05111593,0,0.4512182,0,2152.649,168.6664,0.3378767,0,79.73656,106.8544,4.270524,378.920747827401,372.15336126649,71.293820434382,63.0008840152207,58.6577,11.25064,80,80,4.667597,0.8956392
0.17,S,0.17,0.05432462,0,0.4464195,0,2155.373,168.5734,0.3775604,0,79.7201,106.8544,4.273117,379.659376525869,372.880847373676,71.4220963421057,66.7368518573776,62.38651,11.96486,80,80,5.272818,1.011717
