Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,B,0.010,0.010,0,0.6415314,0,587.0241,63.5,0,0,56.94349,89.67096,8.181869,265.279688953093,265.07652567849,10.3802170146259,12.1329086614487,2.650765,0.1038022,88,88,0.01325382,0.000519011
0.02,B,0.02,0.01060491,0,0.6405798,0,588.1674,63.48744,0.008346649,0,56.91697,89.67096,8.188498,265.913686949105,265.71014312301,10.4023434098402,13.0701343880412,5.307866,0.2078256,88,88,0.05304698,0.00207715
0.03,B,0.03,0.01142411,0,0.638822,0,589.3109,63.4623,0.00965936,0,56.89045,89.67096,8.195127,266.610842365442,266.406880047458,10.4266739754283,14.4467393305956,7.971935,0.3120923,88,88,0.119446,0.00467674
0.04,B,0.04,0.01262735,0,0.6355281,0,590.4544,63.4371,0.01174038,0,56.86394,89.67096,8.201756,267.308412219296,267.104031125456,10.4510190762637,16.154211811197,10.64297,0.4166025,88,88,0.2125205,0.008320213
0.05,B,0.05,0.01411979,0,0.6307,0,591.598,63.41185,0.01456803,0,56.83742,89.67096,8.208385,268.006408316697,267.801608161449,10.4753789887397,18.1022528753863,13.32099,0.5213563,88,88,0.3323403,0.01301001
0.05999999,B,0.05999999,0.01582251,0,0.624672,0,592.7417,63.38656,0.0181185,0,56.81091,89.67096,8.215014,268.704922997599,268.499703437484,10.4997570033249,20.2242308091137,16.00599,0.6263539,88,88,0.4789752,0.01874856
0.06999999,B,0.06999999,0.01767726,0,0.6178769,0,593.8854,63.36121,0.02236913,0,56.78439,89.67096,8.221642,269.403846069429,269.198206827334,10.5241492743325,22.4734291692658,18.69797,0.7315954,88,88,0.652495,0.0255383
0.07999999,B,0.07999999,0.01964321,0,0.6106912,0,595.0291,63.33582,0.02729992,0,56.75787,89.67096,8.228272,270.103251840531,269.89719259491,10.548558395121,24.8175625134887,21.39694,0.837081,88,88,0.8529696,0.03338169
0.08999999,B,0.08999999,0.02169215,0,0.6033895,0,596.173,63.31038,0.03289383,0,56.73135,89.67096,8.234901,270.803182220097,270.596702624413,10.5729858283248,27.2342159365338,24.10291,0.9428109,88,88,1.080469,0.04228114
0.09999999,B,0.09999999,0.02380448,0,0.5961524,0,597.317,63.28488,0.03913655,0,56.70484,89.67096,8.24153,271.503646769574,271.296746471719,10.597431907648,29.7076109523438,26.81588,1.048785,88,88,1.335063,0.05223912
