Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.5084012,0,756.3249,63,0,0,26.10009,45.27512,4.408053,354.101299552344,353.844624278117,13.4800672897789,12.3869492151421,3.538446,0.1348007,88,88,0.01769223,0.0006740035
0.02,S,0.02,0.01082696,0,0.5036283,0,758.2441,62.98413,0.008089217,0,26.09017,45.27512,4.410332,355.174867088863,354.917543205552,13.5175344100371,13.9419450715831,7.087621,0.269976,88,88,0.07082257,0.002697887
0.03,S,0.03,0.01218613,0,0.5006376,0,760.1636,62.95235,0.01018678,0,26.08026,45.27512,4.412611,356.350357391536,356.092323282534,13.5585586373547,16.1495796727641,10.64854,0.4055616,88,88,0.1595034,0.006075575
0.04,S,0.04,0.01411574,0,0.5005917,0,762.0832,62.92049,0.01366696,0,26.07035,45.27512,4.41489,357.526874143966,357.268129150246,13.5996186945959,18.7878025603222,14.22122,0.5415578,88,88,0.2838522,0.01081117
0.05,S,0.05,0.01642172,0,0.5005367,0,764.003,62.88854,0.0184949,0,26.06043,45.27512,4.417169,358.704518931066,358.445062332522,13.6407181263229,21.7059533843203,17.80567,0.677965,88,88,0.4439866,0.01690879
0.05999999,S,0.05999999,0.01897237,0,0.5004762,0,765.9231,62.85651,0.0246833,0,26.05052,45.27512,4.419447,359.883346661423,359.623177705019,13.6818588492187,24.8105520583913,21.4019,0.8147836,88,88,0.6400244,0.02437253
0.06999999,S,0.06999999,0.021686,0,0.5004116,0,767.8433,62.82441,0.03224482,0,26.04061,45.27512,4.421727,361.063186336578,360.802304375498,13.7230348266441,28.0442827851049,25.00992,0.9520139,88,88,0.8720835,0.03320652
0.07999999,S,0.07999999,0.02451251,0,0.5003444,0,769.7638,62.79221,0.04119215,0,26.03069,45.27512,4.424006,362.244239903855,361.982644166882,13.7642531753161,31.3713250969683,28.62975,1.089656,88,88,1.140282,0.04341486
0.08999999,S,0.08999999,0.02742058,0,0.5002753,0,771.6844,62.75994,0.05153806,0,26.02078,45.27512,4.426285,363.426404498265,363.164094273998,13.8055103738742,34.7685934174583,32.26139,1.227711,88,88,1.444738,0.0550017
0.09999999,S,0.09999999,0.03039005,0,0.5002049,0,773.6053,62.72758,0.06329532,0,26.01086,45.27512,4.428564,364.609642746121,364.346617351232,13.8468049805316,38.2207544076453,35.90486,1.366179,88,88,1.785569,0.06797115
0.11,S,0.11,0.0334075,0,0.5001333,0,775.5262,62.69514,0.07647672,0,26.00095,45.27512,4.430842,365.793945145469,365.530203900024,13.8881367322309,41.7172952244445,39.56017,1.50506,88,88,2.162894,0.08232734
0.12,S,0.12,0.03646376,0,0.500061,0,777.4475,62.66262,0.09109519,0,25.99104,45.27512,4.433122,366.97945411221,366.714996250412,13.9295106000023,45.2508021753407,43.22732,1.644355,88,88,2.576831,0.09807442
0.13,S,0.13,0.03955234,0,0.499988,0,779.369,62.63002,0.1071635,0,25.98112,45.27512,4.4354,368.166067081763,367.900891902696,13.9709229349415,48.8159392796737,46.90633,1.784064,88,88,3.0275,0.1152165
0.14,S,0.14,0.04266858,0,0.4999142,0,781.3482,62.59733,0.1246947,0,25.97121,45.27512,4.437679,369.383348740616,369.117437664907,14.0134056718997,52.4090451942722,50.5975,1.924198,88,88,3.515019,0.1337578
0.15,S,0.15,0.04580928,0,0.4998401,0,783.3276,62.56456,0.1437033,0,25.9613,45.27512,4.439959,370.601835768587,370.335188030115,14.0559304831126,56.02716492185,54.30085,2.064757,88,88,4.039511,0.1537026
0.16,S,0.16,0.04897187,0,0.4997654,0,785.3074,62.5317,0.1642025,0,25.95138,45.27512,4.442237,371.821543588582,371.554158414782,14.0984978376627,59.6680289354972,58.01639,2.205742,88,88,4.601097,0.1750551
0.17,S,0.17,0.05215435,0,0.4996904,0,787.2873,62.49876,0.186206,0,25.94147,45.27512,4.444517,373.042337700161,372.774214397435,14.1411031103026,63.32987279431,61.74413,2.347153,88,88,5.1999,0.1978196
0.18,S,0.18,0.05535518,0,0.4996149,0,789.2673,62.46574,0.2097269,0,25.93156,45.27512,4.446795,374.264303773201,373.995441593794,14.183749359798,67.0113155701607,65.48409,2.488991,88,88,5.83604,0.2220003
0.19,S,0.19,0.05857317,0,0.4995392,0,791.2476,62.43263,0.2347791,0,25.92164,45.27512,4.449074,375.487427031865,375.217825242434,14.2264359327459,70.7112374305281,69.23627,2.631255,88,88,6.509642,0.2476015
0.2,S,0.2,0.06180733,0,0.4994632,0,793.2282,62.39944,0.2613758,0,25.91173,45.27512,4.451354,376.711787020839,376.441444837558,14.2691656744811,74.4287434005912,73.00068,2.773947,88,88,7.220827,0.2746275
0.21,S,0.21,0.06505688,0,0.4993868,0,795.2088,62.36616,0.2895304,0,25.90182,45.27512,4.453632,377.937178057224,377.666094823525,14.3119313373864,78.1631133292102,76.77734,2.917066,88,88,7.969717,0.3030826
0.22,S,0.22,0.06832121,0,0.49931,0,797.1898,62.33279,0.319257,0,25.8919,45.27512,4.455911,379.163835008314,378.892009920608,14.3547412562431,81.913747356642,80.56626,3.060613,88,88,8.756435,0.332971
0.23,S,0.23,0.07159977,0,0.4992332,0,799.1708,62.29934,0.3505689,0,25.88199,45.27512,4.45819,380.391634097677,380.119066430069,14.3975910427239,85.6801483291699,84.36745,3.204589,88,88,9.581104,0.364297
0.24,S,0.24,0.07489213,0,0.499156,0,801.1522,62.26581,0.3834798,0,25.87207,45.27512,4.460469,381.620589403866,381.347278424817,14.4404811186979,89.4619008202381,88.18092,3.348994,88,88,10.44385,0.3970649
0.25,S,0.25,0.07819794,0,0.4990787,0,803.1337,62.23219,0.4180037,0,25.86216,45.27512,4.462748,382.850723925268,382.576668886946,14.4834123558638,93.2586653845038,92.00669,3.493828,88,88,11.34478,0.431279
0.26,S,0.26,0.08151691,0,0.499001,0,805.1713,62.19849,0.454154,0,25.85225,45.27512,4.465027,384.110886654153,383.836069355512,14.5273916430391,97.0704248076613,95.84505,3.639102,88,88,12.28404,0.4669437
0.27,S,0.27,0.08484901,0,0.4989231,0,807.2092,62.1647,0.4919475,0,25.84233,45.27512,4.467306,385.37232348262,385.096743119902,14.5714153340449,100.896928307798,99.69601,3.784816,88,88,13.26175,0.5040632
0.28,S,0.28,0.08819403,0,0.498845,0,809.2473,62.13082,0.5313985,0,25.83242,45.27512,4.469585,386.634963287926,386.358619098021,14.615481015899,104.737981322345,103.5596,3.930971,88,88,14.27803,0.5426422
0.29,S,0.29,0.09155181,0,0.4987666,0,811.2855,62.09686,0.5725214,0,25.82251,45.27512,4.471864,387.898748393846,387.621639648794,14.6595866753694,108.593370092346,107.4358,4.077567,88,88,15.333,0.5826849
